Program,Mode,Count,Execution_Time(s),CPU_Usage(%),Disk_Reads_KB,Disk_Writes_KB
Program_A,cpu,2,5.65,100,0,40
Program_A,mem,2,6.23,99.5,0,24
Program_A,io,2,14.91,22,0,983680
Program_A,cpu,3,9.01,99,0,116
Program_A,mem,3,10.45,99,0,36
Program_A,io,3,14.93,36.5,0,1373700
Program_A,cpu,4,12.17,99.5,0,116
Program_A,mem,4,11.91,98,0,28
Program_A,io,4,17.77,40,4,1775772
Program_A,cpu,5,14.71,99,0,112
Program_A,mem,5,16.64,97.5,0,28
Program_A,io,5,17.27,56,0,2169272
Program_B,cpu,2,6.17,100,0,68
Program_B,mem,2,6.41,99.5,0,28
Program_B,io,2,15.24,30.5,0,983700
Program_B,cpu,3,9.73,100,0,100
Program_B,mem,3,9.84,100,0,32
Program_B,io,3,16.36,35,0,1376868
Program_B,cpu,4,12.83,100,0,108
Program_B,mem,4,12.43,100,0,28
Program_B,io,4,16.84,42,0,1774688
Program_B,cpu,5,15.74,100,0,112
Program_B,mem,5,16.13,100,0,32
Program_B,io,5,19.88,56,0,2153048
Program_B,cpu,6,18.39,100,0,48
Program_B,mem,6,18.35,100,0,88
Program_B,io,6,17.74,57,0,2526648
Program_B,cpu,7,21.62,101,0,108
Program_B,mem,7,21.71,100,0,32
Program_B,io,7,21.38,63,0,2903808
Program_B,cpu,8,25.59,100,0,52
Program_B,mem,8,24.75,100,0,76
Program_B,io,8,19.97,42.6,0,3276364
